label,tweet
Neutral,"RT @HindiJKR: राजनीति में एंट्री के बाद अपने पहले भाषण में मतदाताओं से बोलीं प्रियंका गांधी वाड्रा- ""आप जागरुक बनें, इससे बड़ी कोई देशभक्ति…"
Neutral,"RT @AaliyaAkhter: कसाब का फुल फॉर्म यदि कांग्रेस सपा और बसपा हो सकता है,
तो Modi का फुल फार्म 
M-मसूद अजहर 
O-ओसामा 
D-दाऊद

 I-आई एस आई भी…"
Positive,RT @JhaSanjay: My next piece coming soon: The vitriol against young children featuring in the #SurfExcel advertisement is enough reason to…
Neutral,RT @kishanreddybjp: The beauty of Indian democracy is its participatory nature. Request you to share your ideas for the 2019 @BJP4India Man…
Neutral,"@Akshinii @IqbalZarmina @rishibagree @ImranKhanPTI IND mn jo hy,wo b tu hamara hy. Muslims  inherent.Dont wory &amp; wa… https://t.co/MSsAFyXIvq"
Neutral,RT @RealHistoryPic: Arun Jaitley &amp; Narendra Modi during their schooling days respectively. (1950s) https://t.co/x7UFjGTjVk
Positive,"RT @INCIndia: In April 2015, Congress President @RahulGandhi first referred to the Modi govt. as the ""Suit Boot Sarkar"", in three years not…"
Neutral,"RT @prettypadmaja: @tehseenp Ramazan Dates 06th May to 4th June 2019 
Election Dates 11th April to 19 May 2019
Out of 543 seats only 169 se…"
Positive,"RT @aniruddhg1: The Congress meanwhile attacks Modi and the BJP, says it’s the first time that a pilot is a POW and the PM is campaigning.…"
Negative,RT @DwaipayanM: There may be a thousand reasons to dislike INC but there isn't a single reason to vote for a bigot like Modi!
Positive,"RT @jay_bhadrakali1: MODI RESPECTS OUR FORCES? 

YOU DECIDE 😠 

CAMERAMAN REALLY? 

PULWAMA PULWAMA PULWAMA.
SHUT YOUR MOUTH Modi Ji

Shame…"
Neutral,@Atheist_Krishna @theskindoctor13 Aaj sabhi modi bhakto ko edhar hi fsa kar rkh lo. 😣🙄
Neutral,@the_hindu MODI Vs NOBODY.
Neutral,RT @RenukaJain6: Respected guy who saved my life by giving me manta as my pinned tweet. He did things on condition that I don’t pay him a p…
Positive,RT @INCIndia: Friendship according to Modi: Let your friends steal thousands of crores from the country &amp; then send them off to safe havens…
